case_title,case_number,section,source,target,relationship
Report of Investigation ID CASE NO. 0580/03,0580/03,investigation_details,UNDP,UNON,coordinates with
Report of Investigation ID CASE NO. 0580/03,0580/03,investigation_details,UNDP,UNEP,coordinates with
Report of Investigation ID CASE NO. 0580/03,0580/03,applicable_laws_and_procedural_rules,staff rule 101.2(g,official document,regulates the handling of official documents
Report of Investigation ID CASE NO. 0580/03,0580/03,applicable_laws_and_procedural_rules,staff regulation 1.2 b,staff member,sets standards for staff member's conduct
Report of Investigation ID CASE NO. 0580/03,0580/03,applicable_laws_and_procedural_rules,staff regulation 1.2 g,staff member,prohibits misuse of office knowledge for personal gain
Report of Investigation ID CASE NO. 0580/03,0580/03,applicable_laws_and_procedural_rules,slovakian criminal code 1961,article 250,contains provisions related to fraud
Report of Investigation ID CASE NO. 0580/03,0580/03,applicable_laws_and_procedural_rules,act 140 1961,slovakian criminal code,is part of the legal framework governing criminal law
Report of Investigation ID CASE NO. 0580/03,0580/03,background_information,UNDP,UNHQ,provides administrative services including cash disbursement related to programme implementation
Report of Investigation ID CASE NO. 0580/03,0580/03,background_information,UNON,UNDP,sends travel request authorization to UNDP Bratislava office
Report of Investigation ID CASE NO. 0580/03,0580/03,background_information,UNEP,Ozone Secretariat,confirms meeting related to consultant travel
Report of Investigation ID CASE NO. 0580/03,0580/03,background_information,Johannesburg,Monrovia,locations of the consultant's travel for the Ozone Secretariat conference
Report of Investigation ID CASE NO. 0580/03,0580/03,conclusions,ID OIOS,Slovakia,assists in identifying subjects for prosecution under Slovakian Penal Code
Report of Investigation ID CASE NO. 0580/03,0580/03,conclusions,UNON,Slovakia,involved in the process of establishing genuine fax communications
Report of Investigation ID CASE NO. 0580/03,0580/03,conclusions,UNDP,Bratislava,suggests knowledge of access to manipulate systems related to fraud
Report of Investigation ID CASE NO. 0580/03,0580/03,conclusions,staff rule 101.2(g,Slovakian Penal Code,violation leading to prosecution
Report of Investigation ID CASE NO. 0580/03,0580/03,conclusions,staff regulation 1.2(b,Slovakian Penal Code,violation leading to prosecution
Report of Investigation ID CASE NO. 0580/03,0580/03,recommendations,undp,bratislava,recommends retaining identification copy
Report of Investigation ID CASE NO. 0580/03,0580/03,recommendations,undp,slovakian police,requests investigation
Report of Investigation ID CASE NO. 0580/03,0580/03,recommendations,united nations,undp,recommends establishing secure intranet
Report of Investigation ID CASE NO. 0570/03,0570/03,introduction,john negroponte,mission un,is a representative of
Report of Investigation ID CASE NO. 0570/03,0570/03,introduction,senator john kerry,united states senate,is a member of
Report of Investigation ID CASE NO. 0570/03,0570/03,introduction,senator dodd,united states senate,is a member of
Report of Investigation ID CASE NO. 0570/03,0570/03,investigation_details,hiwot abebe,president,sent email to
Report of Investigation ID CASE NO. 0570/03,0570/03,investigation_details,hiwot abebe,vice president,sent email to
Report of Investigation ID CASE NO. 0570/03,0570/03,investigation_details,senator john kerry,united states senate,is a member of
Report of Investigation ID CASE NO. 0570/03,0570/03,investigation_details,senator dodd,united states senate,is a member of
Report of Investigation ID CASE NO. 0570/03,0570/03,investigation_details,president bush,vice president cheney,is in office with
Report of Investigation ID CASE NO. 0570/03,0570/03,investigation_details,mr. dickson mzumara,eca sub regional office,is an officer in
Report of Investigation ID CASE NO. 0570/03,0570/03,investigation_details,excellency ambassador john negroponte,mission un,represents
Report of Investigation ID CASE NO. 0570/03,0570/03,applicable_laws_and_procedural_rules,regulation 1.2,staff regulations,provides guidelines for
Report of Investigation ID CASE NO. 0570/03,0570/03,applicable_laws_and_procedural_rules,staff regulations,government entity,applies to
Report of Investigation ID CASE NO. 0570/03,0570/03,applicable_laws_and_procedural_rules,secretary general,government entity,is a position within
Report of Investigation ID CASE NO. 0570/03,0570/03,background_information,eca,p5,staff member works at
Report of Investigation ID CASE NO. 0570/03,0570/03,background_information,eca,25 year,has duration of service
Report of Investigation ID CASE NO. 0570/03,0570/03,background_information,25 year,november 2003,ends in
Report of Investigation ID CASE NO. 0570/03,0570/03,conclusions,ambassador negroponte,secretary general,authorization
Report of Investigation ID CASE NO. 0570/03,0570/03,recommendations,recommendation 1,investigation report,recommends
Report of Investigation ID CASE NO. 0570/03,0570/03,recommendations,staff member,personnel status,has
Report of Investigation ID CASE NO. 0570/03,0570/03,recommendations,recommendation 2,office legal affairs,recommends
Report of Investigation ID CASE NO. 0570/03,0570/03,recommendations,staff member,cease desist letter,sends
Report of Investigation ID CASE NO. 0570/03,0570/03,recommendations,staff member,separate organization,interacts with
Report of Investigation ID CASE NO. 0570/03,0570/03,recommendations,obligation,official un information,requires
Report of Investigation ID CASE NO. 0570/03,0570/03,recommendations,regulation 1.2(i,staff regulations,is part of
Report into the Allegation that an Economic Commission of Africa (ECA) Staff Member Misappropriated Money Intended as Daily Subsistence Allowance (DSA) for Some Participants Attending a Conference in Seychelles,ID CASE NO. 0202/01,introduction,id oios,economic commission africa,investigates complaints related to misappropriation of funds
Report into the Allegation that an Economic Commission of Africa (ECA) Staff Member Misappropriated Money Intended as Daily Subsistence Allowance (DSA) for Some Participants Attending a Conference in Seychelles,ID CASE NO. 0202/01,introduction,"us$ 12,000",daily subsistence allowance,is intended for participants attending a conference
Report into the Allegation that an Economic Commission of Africa (ECA) Staff Member Misappropriated Money Intended as Daily Subsistence Allowance (DSA) for Some Participants Attending a Conference in Seychelles,ID CASE NO. 0202/01,introduction,economic commission africa,seychelles,holds a conference
Report into the Allegation that an Economic Commission of Africa (ECA) Staff Member Misappropriated Money Intended as Daily Subsistence Allowance (DSA) for Some Participants Attending a Conference in Seychelles,ID CASE NO. 0202/01,introduction,2001,id oios,is the year when the complaint was received
Report into the Allegation that an Economic Commission of Africa (ECA) Staff Member Misappropriated Money Intended as Daily Subsistence Allowance (DSA) for Some Participants Attending a Conference in Seychelles,ID CASE NO. 0202/01,investigation_details,official 3,acgd officer,asks to settle relevant claim and provide support documentation
Report into the Allegation that an Economic Commission of Africa (ECA) Staff Member Misappropriated Money Intended as Daily Subsistence Allowance (DSA) for Some Participants Attending a Conference in Seychelles,ID CASE NO. 0202/01,investigation_details,official 4,acgd officer,questions payment related to DSA for attendees of the 1999 Seychelles conference
Report into the Allegation that an Economic Commission of Africa (ECA) Staff Member Misappropriated Money Intended as Daily Subsistence Allowance (DSA) for Some Participants Attending a Conference in Seychelles,ID CASE NO. 0202/01,investigation_details,id oios investigator,official 4,observes and references memorandum regarding DSA payments
Report into the Allegation that an Economic Commission of Africa (ECA) Staff Member Misappropriated Money Intended as Daily Subsistence Allowance (DSA) for Some Participants Attending a Conference in Seychelles,ID CASE NO. 0202/01,investigation_details,official 5,official 6,authorizes payment to acgd officer
Report into the Allegation that an Economic Commission of Africa (ECA) Staff Member Misappropriated Money Intended as Daily Subsistence Allowance (DSA) for Some Participants Attending a Conference in Seychelles,ID CASE NO. 0202/01,investigation_details,barclays bank plc,acgd officer,"confirms payment of US$ 49,300"
Report into the Allegation that an Economic Commission of Africa (ECA) Staff Member Misappropriated Money Intended as Daily Subsistence Allowance (DSA) for Some Participants Attending a Conference in Seychelles,ID CASE NO. 0202/01,investigation_details,official 2,acgd officer,responds to inquiry about DSA payments
Report into the Allegation that an Economic Commission of Africa (ECA) Staff Member Misappropriated Money Intended as Daily Subsistence Allowance (DSA) for Some Participants Attending a Conference in Seychelles,ID CASE NO. 0202/01,investigation_details,official 2,undp officer,states fund transfer management
Report into the Allegation that an Economic Commission of Africa (ECA) Staff Member Misappropriated Money Intended as Daily Subsistence Allowance (DSA) for Some Participants Attending a Conference in Seychelles,ID CASE NO. 0202/01,investigation_details,acgd officer,barclays,handles DSA payments directly
Report into the Allegation that an Economic Commission of Africa (ECA) Staff Member Misappropriated Money Intended as Daily Subsistence Allowance (DSA) for Some Participants Attending a Conference in Seychelles,ID CASE NO. 0202/01,investigation_details,official 2,id oios,places blame for improper DSA payments
Report into the Allegation that an Economic Commission of Africa (ECA) Staff Member Misappropriated Money Intended as Daily Subsistence Allowance (DSA) for Some Participants Attending a Conference in Seychelles,ID CASE NO. 0202/01,investigation_details,official 4,id oios,places blame for improper DSA payments on bank staff
Report into the Allegation that an Economic Commission of Africa (ECA) Staff Member Misappropriated Money Intended as Daily Subsistence Allowance (DSA) for Some Participants Attending a Conference in Seychelles,ID CASE NO. 0202/01,applicable_laws_and_procedural_rules,staff regulation 1.2 g,financial rule 104.9,regulates the use of office knowledge for personal gain
Report into the Allegation that an Economic Commission of Africa (ECA) Staff Member Misappropriated Money Intended as Daily Subsistence Allowance (DSA) for Some Participants Attending a Conference in Seychelles,ID CASE NO. 0202/01,applicable_laws_and_procedural_rules,financial rule 104.9,sgb/2003/7,provides guidelines for cash advance issues
Report into the Allegation that an Economic Commission of Africa (ECA) Staff Member Misappropriated Money Intended as Daily Subsistence Allowance (DSA) for Some Participants Attending a Conference in Seychelles,ID CASE NO. 0202/01,applicable_laws_and_procedural_rules,financial rule 104.10,sgb/2003/7 b,details the disbursement process
Report into the Allegation that an Economic Commission of Africa (ECA) Staff Member Misappropriated Money Intended as Daily Subsistence Allowance (DSA) for Some Participants Attending a Conference in Seychelles,ID CASE NO. 0202/01,applicable_laws_and_procedural_rules,secretary general,financial rule 104.10,oversees the management of financial rules
Report into the Allegation that an Economic Commission of Africa (ECA) Staff Member Misappropriated Money Intended as Daily Subsistence Allowance (DSA) for Some Participants Attending a Conference in Seychelles,ID CASE NO. 0202/01,methodology,ECA,Seychelles,ECA official involved in Seychelles conference
Report into the Allegation that an Economic Commission of Africa (ECA) Staff Member Misappropriated Money Intended as Daily Subsistence Allowance (DSA) for Some Participants Attending a Conference in Seychelles,ID CASE NO. 0202/01,methodology,DSA,Seychelles,DSA mentioned in relation to Seychelles conference
Report into the Allegation that an Economic Commission of Africa (ECA) Staff Member Misappropriated Money Intended as Daily Subsistence Allowance (DSA) for Some Participants Attending a Conference in Seychelles,ID CASE NO. 0202/01,background_information,African Centre for Women,African Centre for Gender Development,organizes conference
Report into the Allegation that an Economic Commission of Africa (ECA) Staff Member Misappropriated Money Intended as Daily Subsistence Allowance (DSA) for Some Participants Attending a Conference in Seychelles,ID CASE NO. 0202/01,background_information,UNDP,ECA,sponsors conference
Report into the Allegation that an Economic Commission of Africa (ECA) Staff Member Misappropriated Money Intended as Daily Subsistence Allowance (DSA) for Some Participants Attending a Conference in Seychelles,ID CASE NO. 0202/01,background_information,ECA,UNDP,reimburses expenses
Report into the Allegation that an Economic Commission of Africa (ECA) Staff Member Misappropriated Money Intended as Daily Subsistence Allowance (DSA) for Some Participants Attending a Conference in Seychelles,ID CASE NO. 0202/01,conclusions,acgd,second bank,officer forge signature retain money
Report into the Allegation that an Economic Commission of Africa (ECA) Staff Member Misappropriated Money Intended as Daily Subsistence Allowance (DSA) for Some Participants Attending a Conference in Seychelles,ID CASE NO. 0202/01,conclusions,eca,acgd,manager measure hold accountable
Report into the Allegation that an Economic Commission of Africa (ECA) Staff Member Misappropriated Money Intended as Daily Subsistence Allowance (DSA) for Some Participants Attending a Conference in Seychelles,ID CASE NO. 0202/01,recommendations,acgd officer,financial rule 104.9,breach
Report into the Allegation that an Economic Commission of Africa (ECA) Staff Member Misappropriated Money Intended as Daily Subsistence Allowance (DSA) for Some Participants Attending a Conference in Seychelles,ID CASE NO. 0202/01,recommendations,acgd officer,financial rule 104.10,breach
Report into the Allegation that an Economic Commission of Africa (ECA) Staff Member Misappropriated Money Intended as Daily Subsistence Allowance (DSA) for Some Participants Attending a Conference in Seychelles,ID CASE NO. 0202/01,recommendations,eca management,cash disbursement practice,review
Report into the Allegation that an Economic Commission of Africa (ECA) Staff Member Misappropriated Money Intended as Daily Subsistence Allowance (DSA) for Some Participants Attending a Conference in Seychelles,ID CASE NO. 0202/01,recommendations,id rec iv01/202/01,id rec iv01/202/02,related reference
Allegations of misconduct occurring in the Post-Conflict Assessment Unit (PCAU) of the United Nations Environmental Programme (UNEP),ID Case No. 0374103,introduction,investigations division office,internal oversight services,receives reports alleging wrongdoing
Allegations of misconduct occurring in the Post-Conflict Assessment Unit (PCAU) of the United Nations Environmental Programme (UNEP),ID Case No. 0374103,introduction,balkans task force,post conflict assessment unit,collaborates with
Allegations of misconduct occurring in the Post-Conflict Assessment Unit (PCAU) of the United Nations Environmental Programme (UNEP),ID Case No. 0374103,introduction,united nations environment programme,unep staff members,employs
Allegations of misconduct occurring in the Post-Conflict Assessment Unit (PCAU) of the United Nations Environmental Programme (UNEP),ID Case No. 0374103,introduction,unep,unep pcau consultant,engages
Allegations of misconduct occurring in the Post-Conflict Assessment Unit (PCAU) of the United Nations Environmental Programme (UNEP),ID Case No. 0374103,investigation_details,UNEP,PCAU,UNEP staff member 2 received appointment at PCAU
Allegations of misconduct occurring in the Post-Conflict Assessment Unit (PCAU) of the United Nations Environmental Programme (UNEP),ID Case No. 0374103,investigation_details,UNEP,BTF,BTF consultants worked with UNEP staff member 1
Allegations of misconduct occurring in the Post-Conflict Assessment Unit (PCAU) of the United Nations Environmental Programme (UNEP),ID Case No. 0374103,investigation_details,UNEP,OIOS,UNEP management advised OIOS regarding UNEP staff member 1
Allegations of misconduct occurring in the Post-Conflict Assessment Unit (PCAU) of the United Nations Environmental Programme (UNEP),ID Case No. 0374103,methodology,OIOS,UNOPS,OIOS investigates UNOPS for competitive bidding violations.
Allegations of misconduct occurring in the Post-Conflict Assessment Unit (PCAU) of the United Nations Environmental Programme (UNEP),ID Case No. 0374103,methodology,United Nations,OIOS,OIOS operates under the United Nations to ensure compliance with financial regulations.
Allegations of misconduct occurring in the Post-Conflict Assessment Unit (PCAU) of the United Nations Environmental Programme (UNEP),ID Case No. 0374103,methodology,United Nations,UNOPS,UNOPS is an organization that functions under the United Nations.
Allegations of misconduct occurring in the Post-Conflict Assessment Unit (PCAU) of the United Nations Environmental Programme (UNEP),ID Case No. 0374103,background_information,unep,staff member,employs
Allegations of misconduct occurring in the Post-Conflict Assessment Unit (PCAU) of the United Nations Environmental Programme (UNEP),ID Case No. 0374103,background_information,unep,shareholder,has shareholders
Allegations of misconduct occurring in the Post-Conflict Assessment Unit (PCAU) of the United Nations Environmental Programme (UNEP),ID Case No. 0374103,background_information,unep,senior officer,has senior officers
Allegations of misconduct occurring in the Post-Conflict Assessment Unit (PCAU) of the United Nations Environmental Programme (UNEP),ID Case No. 0374103,background_information,company,sub contractor,hires
Allegations of misconduct occurring in the Post-Conflict Assessment Unit (PCAU) of the United Nations Environmental Programme (UNEP),ID Case No. 0374103,background_information,unep,btf,works with
Allegations of misconduct occurring in the Post-Conflict Assessment Unit (PCAU) of the United Nations Environmental Programme (UNEP),ID Case No. 0374103,background_information,unep,consultancy contract,holds
Allegations of misconduct occurring in the Post-Conflict Assessment Unit (PCAU) of the United Nations Environmental Programme (UNEP),ID Case No. 0374103,background_information,unep,contractual relationship,establishes
Allegations of misconduct occurring in the Post-Conflict Assessment Unit (PCAU) of the United Nations Environmental Programme (UNEP),ID Case No. 0374103,background_information,unep,conflict interest,creates appearance of
Allegations of misconduct occurring in the Post-Conflict Assessment Unit (PCAU) of the United Nations Environmental Programme (UNEP),ID Case No. 0374103,conclusions,unep,unops,collaborates with
Allegations of misconduct occurring in the Post-Conflict Assessment Unit (PCAU) of the United Nations Environmental Programme (UNEP),ID Case No. 0374103,conclusions,unep,united nations,is part of
Allegations of misconduct occurring in the Post-Conflict Assessment Unit (PCAU) of the United Nations Environmental Programme (UNEP),ID Case No. 0374103,conclusions,unops,united nations,is part of
Allegations of misconduct occurring in the Post-Conflict Assessment Unit (PCAU) of the United Nations Environmental Programme (UNEP),ID Case No. 0374103,others,mr. francis montil,deputy director,holds the title of
Allegations of misconduct occurring in the Post-Conflict Assessment Unit (PCAU) of the United Nations Environmental Programme (UNEP),ID Case No. 0374103,others,mr. francis montil,oios,works for
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,introduction,28 February 2003,Pristina International Airport,audit report date
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,introduction,Pristina International Airport,Chartered Accountants,conduct investigation
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,introduction,Pristina International Airport,commercial flight,handle landing fee service
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,introduction,Pristina Airport,landing fee,service employee fail account money pay
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,introduction,landing fee,airline,allocate landing slot
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,investigation_details,Pristina Airport,Airline 1,handles landing fees and de-icing costs
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,investigation_details,Pristina Airport,Airline 2,handles landing fees and de-icing costs
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,investigation_details,Pristina Airport,Airline 3,handles landing fees and de-icing costs
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,investigation_details,Pristina Airport,Airline 4,handles landing fees and de-icing costs
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,investigation_details,Pristina Airport,Airline 5,handles landing fees and de-icing costs
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,investigation_details,Pristina Airport,Airline 6,handles landing fees and de-icing costs
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,investigation_details,January 2001,December 2001,period during which allegations of corruption arose
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,investigation_details,21,Airline 1,total number of airlines operating at Pristina Airport
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,investigation_details,"€ 4,799,395","€ 4,919,190",stated income figure compared to actual income figure
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,applicable_laws_and_procedural_rules,UNMIK,United Nations,is an organization established under the United Nations
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,applicable_laws_and_procedural_rules,1999/24,12 December 1999,is the regulation promulgated on this date
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,applicable_laws_and_procedural_rules,Kosovo,1999/24,is the location to which the regulation applies
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,applicable_laws_and_procedural_rules,Secretary General,SRSG,is the title held by the Special Representative of the Secretary General
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,methodology,2003/16,Pristina Airport Administration,establishment of investigation task force
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,methodology,2003/16,Pillar IV,involvement in inquiry
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,background_information,Pristina International Airport,Kosovo Force (KFOR),operational cooperation
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,background_information,United Nations Security Council Resolution 1244,UNMIK,mandate to administer territory
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,background_information,Department of Transport Infrastructure (DOTI),UNMIK,supervision of airport operations
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,background_information,Kosovo Trust Agency (KTA),Pristina International Airport,administration responsibility transfer
Allegations of theft and corruption arising out of the collection of handling and landing fees and de-icing costs for passenger aircraft using Pristina Airport.,0283/04,background_information,Air Traffic Control Services (ATCS),Pristina International Airport,operational oversight
Alleged Violations of Procurement Procedures - Insurance,02 16/04,introduction,investigation task force,itf,is an abbreviation of
Alleged Violations of Procurement Procedures - Insurance,02 16/04,introduction,itf,unmuk,is involved in
Alleged Violations of Procurement Procedures - Insurance,02 16/04,introduction,unmuk,pristina airport,procurement procedure involves
Alleged Violations of Procurement Procedures - Insurance,02 16/04,introduction,april 2004,1 april 2004,is the month of
Alleged Violations of Procurement Procedures - Insurance,02 16/04,investigation_details,itf,airport personnel,employs
Alleged Violations of Procurement Procedures - Insurance,02 16/04,investigation_details,icaa,unmik,requires compliance with
Alleged Violations of Procurement Procedures - Insurance,02 16/04,investigation_details,unmik,kta internal audit department,oversees
Alleged Violations of Procurement Procedures - Insurance,02 16/04,investigation_details,kta internal audit department,kta rule,enforces
Alleged Violations of Procurement Procedures - Insurance,02 16/04,investigation_details,unmik,unmik procurement rule,establishes
Alleged Violations of Procurement Procedures - Insurance,02 16/04,investigation_details,agreement,new policy,formalizes
Alleged Violations of Procurement Procedures - Insurance,02 16/04,investigation_details,icaa,unmik procurement rule,must follow
Alleged Violations of Procurement Procedures - Insurance,02 16/04,applicable_laws_and_procedural_rules,unmik,icraa,is applicable to
Alleged Violations of Procurement Procedures - Insurance,02 16/04,applicable_laws_and_procedural_rules,icraa,iceland,is associated with
Alleged Violations of Procurement Procedures - Insurance,02 16/04,methodology,Pristina Airport,ICAO,related to
Alleged Violations of Procurement Procedures - Insurance,02 16/04,background_information,unmik,Icelandic Civil Aviation Administration,assistance agreement
Alleged Violations of Procurement Procedures - Insurance,02 16/04,background_information,Icelandic Civil Aviation Administration,ICAA,is an abbreviation of
Alleged Violations of Procurement Procedures - Insurance,02 16/04,background_information,unmik,reputable insurer,requires insurance from
Alleged Violations of Procurement Procedures - Insurance,02 16/04,background_information,unmik,airport,operates at
Alleged Violations of Procurement Procedures - Insurance,02 16/04,background_information,unmik,equipment,requires for operation
Alleged Violations of Procurement Procedures - Insurance,02 16/04,background_information,unmik,facility,requires for operation
Alleged Violations of Procurement Procedures - Insurance,02 16/04,background_information,unmik,operation service,provides
Alleged Violations of Procurement Procedures - Insurance,02 16/04,recommendations,itf,icca,provides comprehensive policy document
Alleged Violations of Procurement Procedures - Insurance,02 16/04,recommendations,icca,insurance policy,previous insurance policy cancel
Alleged Violations of Procurement Procedures - Insurance,02 16/04,others,mr. mark gough,chief peacekeeping investigations unit,works for
Alleged Violations of Procurement Procedures - Insurance,02 16/04,others,chief peacekeeping investigations unit,vienna,is located in
Alleged Violations of Procurement Procedures - Insurance,02 16/04,others,mr. mark gough,+43 1 26060 5406,can be contacted at
Alleged misappropriation of funds – Manager,050/04,introduction,investigation task force,ITF,abbreviation
Alleged misappropriation of funds – Manager,050/04,introduction,Pristina,London,location comparison
Alleged misappropriation of funds – Manager,050/04,introduction,2001,2003,time period
Alleged misappropriation of funds – Manager,050/04,investigation_details,Pristina International Airport,Icelandic Civil Aviation Administration,assume responsibility for air safety
Alleged misappropriation of funds – Manager,050/04,investigation_details,Icelandic Civil Aviation Administration,aviation liability guarantee insurance,establish new insurance coverage package
Alleged misappropriation of funds – Manager,050/04,applicable_laws_and_procedural_rules,UNMIK,Kosovo,administers
Alleged misappropriation of funds – Manager,050/04,applicable_laws_and_procedural_rules,1999/2,UNMIK,regulation date
Alleged misappropriation of funds – Manager,050/04,applicable_laws_and_procedural_rules,Kosovo,"$125,000 USD",budget allocation
Alleged misappropriation of funds – Manager,050/04,methodology,itf,investigator,organization employs
Alleged misappropriation of funds – Manager,050/04,methodology,investigator,suspect,interviews
Alleged misappropriation of funds – Manager,050/04,background_information,KTA,Pristina,manages
Alleged misappropriation of funds – Manager,050/04,background_information,2002,2003,timeframe
Alleged misappropriation of funds – Manager,050/04,conclusions,Pristina International Airport,1 April 2004,date of financial loss occurrence
Alleged misappropriation of funds – Manager,050/04,conclusions,Pristina International Airport,1 October 2004,date of financial loss occurrence
Alleged misappropriation of funds – Manager,050/04,others,mr wolfgang nikolaus,itf,head of
Alleged misappropriation of funds – Manager,050/04,others,mr mark gough,oios,id of
Alleged misappropriation of funds – Manager,050/04,others,mr wolfgang nikolaus,pristina,located in
Alleged misappropriation of funds – Manager,050/04,others,mr mark gough,vienna,located in
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,introduction,Vendor 1,Procurement Officer 1,allegation of bribery
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,introduction,Vendor 1,Finance Officer,involvement in tender process
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,introduction,Vendor 1,Vendor 2,competitors in tender process
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,introduction,Procurement Officer 1,Bid Evaluation Committee,member replacement due to alleged violation
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,introduction,ITF,Procurement Officer 1,inquiry into allegations
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,investigation_details,procurement officer 1,finance officer,member of bid evaluation committee
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,investigation_details,procurement officer 1,pristina airport official,nominates finance officer to bid evaluation committee
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,investigation_details,pristina airport official,vendor 2,prefers vendor 2 for contract award
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,investigation_details,procurement officer 1,vendor 2,argues in favor of vendor 2 for contract award
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,investigation_details,procurement officer 1,kosovo minister,associates with vendor 2
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,investigation_details,pristina airport official,vendor 1,receives complaint regarding bribery
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,investigation_details,procurement officer 1,vendor 1,alleged bribery involvement
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,investigation_details,pristina airport official,vendor 1,awards contract for summer uniform
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,investigation_details,procurement officer 2,pristina airport official,transmits document for single source procurement
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,applicable_laws_and_procedural_rules,procurement officer 1,finance officer,accept bribe
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,applicable_laws_and_procedural_rules,procurement officer 1,vendor 2,favour in tender process
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,applicable_laws_and_procedural_rules,vendor 1,procurement officer 1,threaten
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,methodology,vendor 1,vendor 2,vendor 1 and vendor 2 submitted bids for the same procurement
Investigation into Allegations of Bribery and Favouritism in Procurement of Uniforms by Pristina Airport,ITF Case No. 0462/04,methodology,vendor 2,vendor 1,vendor 2 was tentatively decided to be favored over vendor 1
